"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","/","443","WARN","No engine or GOST support via engine with your /home/kaifong/testssl.sh/bin/openssl.Linux.x86_64","",""
"service","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","HTTP","",""
"pre_128cipher","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","",""
"SSLv3","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","",""
"TLS1","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","",""
"TLS1_1","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","",""
"TLS1_2","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","offered","",""
"TLS1_3","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","",""
"ALPN","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","",""
"cipherlist_NULL","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","offered","",""
"cipherlist_STRONG_FS","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","offered","",""
"cipher_order-tls1_2","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","server","",""
