"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","HTTP","",""
"pre_128cipher","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","not offered","",""
"SSLv3","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","not offered","",""
"TLS1","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"TLS1_1","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"TLS1_2","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","offered","",""
"TLS1_3","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"ALPN","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"service","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","HTTP","",""
"pre_128cipher","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","not offered","",""
"SSLv3","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","not offered","",""
"TLS1","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"TLS1_1","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"TLS1_2","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","offered","",""
"TLS1_3","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"ALPN","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"service","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","HTTP","",""
"pre_128cipher","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","not offered","",""
"SSLv3","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","not offered","",""
"TLS1","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"TLS1_1","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"TLS1_2","ntulearn.ntu.edu.sg/13.229.254.73","443","OK","offered","",""
"TLS1_3","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"ALPN","ntulearn.ntu.edu.sg/13.229.254.73","443","INFO","not offered","",""
"service","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","HTTP","",""
"pre_128cipher","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","not offered","",""
"SSLv3","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","not offered","",""
"TLS1","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"TLS1_1","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"TLS1_2","ntulearn.ntu.edu.sg/52.74.211.198","443","OK","offered","",""
"TLS1_3","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
"ALPN","ntulearn.ntu.edu.sg/52.74.211.198","443","INFO","not offered","",""
