"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","/","443","WARN","No engine or GOST support via engine with your ../bin/openssl.Linux.x86_64","",""
"service","github.com/20.205.243.166","443","INFO","HTTP","",""
"pre_128cipher","github.com/20.205.243.166","443","INFO","No 128 cipher limit bug","",""
"SSLv2","github.com/20.205.243.166","443","OK","not offered","",""
"SSLv3","github.com/20.205.243.166","443","OK","not offered","",""
"TLS1","github.com/20.205.243.166","443","INFO","not offered","",""
"TLS1_1","github.com/20.205.243.166","443","INFO","not offered","",""
"TLS1_2","github.com/20.205.243.166","443","OK","offered","",""
"TLS1_3","github.com/20.205.243.166","443","OK","offered with final","",""
"NPN","github.com/20.205.243.166","443","INFO","not offered","",""
"ALPN_HTTP2","github.com/20.205.243.166","443","OK","h2","",""
"ALPN","github.com/20.205.243.166","443","INFO","http/1.1","",""
"cipher_order-tls1_2","github.com/20.205.243.166","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","github.com/20.205.243.166","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","github.com/20.205.243.166","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02c","github.com/20.205.243.166","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc023","github.com/20.205.243.166","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
