"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","/","443","WARN","No engine or GOST support via engine with your ../bin/openssl.Linux.x86_64","",""
"service","visa.com.sg/162.159.153.2","443","INFO","HTTP","",""
"pre_128cipher","visa.com.sg/162.159.153.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","visa.com.sg/162.159.153.2","443","OK","not offered","",""
"SSLv3","visa.com.sg/162.159.153.2","443","OK","not offered","",""
"TLS1","visa.com.sg/162.159.153.2","443","INFO","not offered","",""
"TLS1_1","visa.com.sg/162.159.153.2","443","INFO","not offered","",""
"TLS1_2","visa.com.sg/162.159.153.2","443","OK","offered","",""
"TLS1_3","visa.com.sg/162.159.153.2","443","OK","offered with final","",""
"NPN","visa.com.sg/162.159.153.2","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","visa.com.sg/162.159.153.2","443","OK","h2","",""
"ALPN","visa.com.sg/162.159.153.2","443","INFO","http/1.1","",""
"cipher_order-tls1_2","visa.com.sg/162.159.153.2","443","OK","server","",""
"cipher-tls1_2_xc02c","visa.com.sg/162.159.153.2","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","visa.com.sg/162.159.153.2","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","visa.com.sg/162.159.153.2","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","visa.com.sg/162.159.153.2","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","visa.com.sg/162.159.153.2","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","visa.com.sg/162.159.153.2","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","visa.com.sg/162.159.153.2","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","visa.com.sg/162.159.153.2","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","visa.com.sg/162.159.153.2","443","OK","server -- TLS 1.3 client determined","",""
"FS","visa.com.sg/162.159.153.2","443","OK","offered","",""
"FS_ciphers","visa.com.sg/162.159.153.2","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_KEMs","visa.com.sg/162.159.153.2","443","OK","X25519MLKEM768 X25519Kyber768Draft00","",""
"FS_ECDHE_curves","visa.com.sg/162.159.153.2","443","OK","prime256v1 secp384r1 secp521r1 X25519","",""
"FS_TLS12_sig_algs","visa.com.sg/162.159.153.2","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512","",""
"FS_TLS13_sig_algs","visa.com.sg/162.159.153.2","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","visa.com.sg/162.159.153.2","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","visa.com.sg/162.159.153.2","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","visa.com.sg/162.159.153.2","443","INFO","yes","",""
"sessionresumption_ticket","visa.com.sg/162.159.153.2","443","INFO","supported","",""
"sessionresumption_ID","visa.com.sg/162.159.153.2","443","INFO","not supported","",""
"TLS_timestamp","visa.com.sg/162.159.153.2","443","INFO","random","",""
"certificate_compression","visa.com.sg/162.159.153.2","443","INFO","0002/Brotli","",""
"clientAuth","visa.com.sg/162.159.153.2","443","INFO","none","",""
"cert_numbers","visa.com.sg/162.159.153.2","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","visa.com.sg/162.159.153.2","443","HIGH","Certificate incorrectly used for key encipherment: 'Digital Signature'","",""
"cert_extKeyUsage <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","26E403453189C12254E8923244A4E6C3","",""
"cert_serialNumberLen <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","07E805DB66D5898D95C82CB3C73BE4A7959A9ADF","",""
"cert_fingerprintSHA256 <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","1537BB894A51334BBB6F1D988B34513D634924B3BC8A24FAB471AB25B8016AF4","",""
"cert <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF1TCCBL2gAwIBAgIQJuQDRTGJwSJU6JIyRKTmwzANBgkqhkiG9w0BAQsFADBSMQswCQYDVQQGEwJVUzEZMBcGA1UECgwQQ0xPVURGTEFSRSwgSU5DLjEoMCYGA1UEAwwfQ2xvdWRmbGFyZSBUTFMgSXNzdWluZyBSU0EgQ0EgMTAeFw0yNDEwMTcwMjM5MjlaFw0yNTEwMTcwMjQ1MjBaMBYxFDASBgNVBAMMC3Zpc2EuY29tLnNnMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsEGOegh1AClzTZkvfI5mu9Uirsu2AX5mIQ09ufuU/GFpBlF1BctJewHyFnc/IeYlrCTMlEBhvjztlXAj0dWuhUr3dbNYPXH6/JbGaoNYcJX84bxTUAeTAeXjVKt/XCP5cdIcEjp/0btrLLz68rjKvSlNgQitvDptByn4tGAC8pGbNUj25fYk9KkZdWwNjZ8voTy4+yofKTmUqCZno4oRxvbx1Zqc+tXu0+v0ZszAJk/K+o8Vkr3XjNfFiFEcesF49oecbKVaqHZYrWnSjW8Q72tob0/7BOVJYTW2Wu8D99629BqndsQr+G2zfRnYejDia5+B+x8FeaipQ2u+fY+iUwIDAQABo4IC4TCCAt0wDAYDVR0TAQH/BAIwADAfBgNVHSMEGDAWgBQFbbTZyVgX4dABp/UvIGpIPZr0FzBsBggrBgEFBQcBAQRgMF4wOQYIKwYBBQUHMAKGLWh0dHA6Ly9pLmNmLWIuc3NsLmNvbS9DbG91ZGZsYXJlLVRMUy1JLVIxLmNlcjAhBggrBgEFBQcwAYYVaHR0cDovL28uY2YtYi5zc2wuY29tMBYGA1UdEQQPMA2CC3Zpc2EuY29tLnNnMCMGA1UdIAQcMBowCAYGZ4EMAQIBMA4GDCsGAQQBgqkwAQMBATAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwPgYDVR0fBDcwNTAzoDGgL4YtaHR0cDovL2MuY2YtYi5zc2wuY29tL0Nsb3VkZmxhcmUtVExTLUktUjEuY3JsMA4GA1UdDwEB/wQEAwIHgDAPBgkrBgEEAYLaSywEAgUAMIIBfwYKKwYBBAHWeQIEAgSCAW8EggFrAWkAdgAS8U40vVNyTIQGGcOPP3oT+Oe1YoeInG0wBYTr5YYmOgAAAZKYYVyaAAAEAwBHMEUCIQDtRqtY5PAIT+S8fMxnwaahwAh3vemDpnTG2bOfnyWBJQIgI31ftBtsekVU2U768VKSUR0JnNCrpO2qQgm60iCrgr4AdgAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZKYYVydAAAEAwBHMEUCICYhsmG6Mdl64p4O/lNA5n8y62UrordN81JbSr/eXLjpAiEAomjBHhrO5W8AGYccWcVRFhQoCOMcn02G5IVPOecIzQQAdwDM+w9qhXEJZf6Vm1PO6bJ8IumFXA2XjbapflTA/kwNsAAAAZKYYVzHAAAEAwBIMEYCIQDK37B1EhuPuM0gbGuQ5ZgGOFngjl4Dj+uGJYjDBB9+5gIhAKdsBcqnv7ELa7PklBaVYlFI2OGgUxtSmjS0fMRRH1K7MA0GCSqGSIb3DQEBCwUAA4IBAQBZtjjLNgV7jQMk15IzlEBgkyBVxHSFOMkBXn+qV2zolX9p12A47fc8GkNJS3bywm5Exg3O86WOuNOAk2sRTv4drYqtxMGlAvc+IFrYxLuW959txNFubrWZReDYOlwMRWo3l5SWINDru5Np4HTJRM1Hud6fOanjkmaBV2/yERaXgeXUujvmNp7RCPjCY8B+szTcIhUZ2otOeBN4vdVgJc9yL5iYoEpTYOZJGbhDpleZmPf7iHUrLb9lcbF+0PhFYdkzyUzDS6QBtvpl4ee4ysFfdt8NLwixn69SdqTOfcMnNiASCiPv8rjwbhk5VR6CKpzdUaCeUR2N73KK38DyP+CE\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","visa.com.sg","",""
"cert_commonName_wo_SNI <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","visa.com.sg","",""
"cert_trust <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","240 >= 60 days","",""
"cert_notBefore <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","2024-10-17 02:39","",""
"cert_notAfter <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","2025-10-17 02:45","",""
"cert_extlifeSpan <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","http://c.cf-b.ssl.com/Cloudflare-TLS-I-R1.crl","",""
"cert_ocspURL <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","http://o.cf-b.ssl.com","",""
"OCSP_stapling <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","visa.com.sg/162.159.153.2","443","WARN","unable to verify response","",""
"cert_mustStapleExtension <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","visa.com.sg/162.159.153.2","443","LOW","--","",""
"certificate_transparency <hostCert#1>","visa.com.sg/162.159.153.2","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#1>","visa.com.sg/162.159.153.2","443","INFO","no","",""
